no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,gender,marital_status,age,employment_type,years_at_current_job,previous_defaults,collateral_value,region,emi_ratio,target
3,Not Graduate,No,8020991,7814434,180,647,2849330,3866974,Male,Divorced,22,Salaried,18,0,6473668,Semi-Urban,0.97,1
3,Graduate,No,9795294,776948,6,318,6728420,2360298,Male,Single,44,Business,26,0,2842086,Semi-Urban,0.08,0
0,Not Graduate,No,3952310,14781863,60,811,7598079,1873610,Male,Single,58,Salaried,27,0,6261559,Urban,3.74,1
1,Graduate,Yes,7931156,6004249,180,656,4197492,3675572,Female,Divorced,53,Govt Job,10,0,1726031,Urban,0.76,1
2,Not Graduate,Yes,2031209,7471182,24,812,4900681,4478679,Male,Single,39,Business,27,0,5029931,Semi-Urban,3.68,1
3,Graduate,Yes,2408522,11344932,36,767,1570017,4670381,Female,Single,45,Govt Job,5,0,7901464,Rural,4.71,1
1,Not Graduate,Yes,6254626,4562551,60,739,594667,3125659,Female,Married,27,Student,13,0,3736105,Urban,0.73,0
3,Not Graduate,Yes,7303922,16400400,60,822,4944770,2046967,Female,Single,35,Business,18,0,1278205,Semi-Urban,2.25,1
2,Not Graduate,No,8563201,15004915,12,855,6746618,2588650,Male,Single,61,Business,8,0,620399,Urban,1.75,1
3,Not Graduate,No,4702183,11830420,180,440,5173339,1981535,Female,Divorced,32,Govt Job,28,0,4641581,Urban,2.52,0
4,Not Graduate,No,5935296,17946715,6,719,5147053,2863399,Female,Single,45,Govt Job,17,1,197186,Urban,3.02,0
1,Graduate,Yes,2101745,5586223,60,639,3716272,4755350,Female,Married,31,Business,17,0,6250074,Semi-Urban,2.66,1
4,Not Graduate,Yes,8981365,1620914,24,481,4227796,2990522,Male,Divorced,34,Student,23,1,4112553,Rural,0.18,0
4,Graduate,Yes,2724676,5930738,24,561,2260518,199426,Female,Married,23,Student,26,1,1373336,Rural,2.18,0
3,Graduate,Yes,5452945,8093604,24,720,9361220,3617871,Male,Married,64,Salaried,24,0,338608,Urban,1.48,1
3,Not Graduate,Yes,7288821,19814453,36,334,4445687,1904497,Female,Single,43,Govt Job,17,0,91108,Urban,2.72,0
2,Graduate,No,7715974,888250,6,439,2947999,1358666,Female,Divorced,61,Govt Job,14,0,4286275,Rural,0.12,0
3,Graduate,Yes,1896119,12297198,60,618,1946975,2981960,Female,Divorced,22,Student,21,0,2810268,Semi-Urban,6.49,0
0,Graduate,Yes,5418527,5086135,24,416,9687880,1483970,Female,Single,56,Retired,22,1,1846849,Rural,0.94,0
4,Graduate,Yes,4436591,3589554,6,682,6463003,901266,Female,Married,23,Salaried,1,0,833297,Rural,0.81,1
4,Not Graduate,No,7850646,8970132,60,717,3551786,1199305,Male,Married,28,Salaried,1,0,136802,Semi-Urban,1.14,1
1,Not Graduate,Yes,2909443,18963372,240,332,9667217,3448386,Female,Married,39,Govt Job,7,1,1900869,Semi-Urban,6.52,0
4,Not Graduate,Yes,2479629,15631902,12,655,222088,1868623,Male,Single,44,Business,28,0,3171037,Semi-Urban,6.3,1
3,Graduate,No,9848377,10345835,240,732,1032962,4421065,Male,Single,51,Govt Job,23,0,1828936,Semi-Urban,1.05,1
2,Not Graduate,Yes,8297922,1122400,120,482,8701255,3633466,Female,Single,40,Govt Job,16,0,1827527,Semi-Urban,0.14,0
3,Graduate,Yes,4275925,16261799,180,685,8447526,3406148,Male,Divorced,32,Retired,10,0,1555018,Semi-Urban,3.8,0
0,Not Graduate,No,2793752,7630664,24,650,1430076,512455,Male,Married,23,Govt Job,23,0,1315282,Urban,2.73,0
2,Graduate,No,4556372,13197170,60,758,4805324,3841367,Male,Married,57,Salaried,26,0,6419582,Semi-Urban,2.9,1
3,Not Graduate,Yes,5503756,5264999,12,732,5618466,3407506,Female,Married,62,Business,5,0,2529658,Urban,0.96,1
2,Not Graduate,No,8630860,2650279,36,650,7595216,808685,Female,Single,33,Business,10,1,4543182,Rural,0.31,0
3,Not Graduate,No,6004097,5766476,6,549,6982627,1136149,Female,Divorced,59,Salaried,27,0,4423904,Semi-Urban,0.96,0
0,Not Graduate,Yes,7776207,16378543,60,638,3310469,1797075,Male,Divorced,35,Govt Job,8,0,1677034,Rural,2.11,1
1,Not Graduate,Yes,3192018,17436524,24,661,6673055,4773850,Female,Married,31,Business,28,0,3725729,Rural,5.46,1
3,Not Graduate,No,3199178,309121,120,315,2864010,867913,Female,Divorced,28,Govt Job,15,0,3108666,Rural,0.1,0
4,Not Graduate,Yes,9347696,1666604,6,469,6319726,3665454,Male,Divorced,37,Retired,5,0,1562602,Rural,0.18,0
4,Not Graduate,No,7474111,19090689,24,724,1289168,1732051,Male,Married,21,Salaried,11,0,1753977,Semi-Urban,2.55,1
1,Graduate,Yes,1124859,5135216,36,606,6169568,3644861,Male,Single,64,Govt Job,3,0,6096427,Urban,4.57,1
3,Not Graduate,No,1104985,12405127,24,351,8351603,2184605,Female,Single,25,Retired,7,0,1920897,Rural,11.23,0
4,Graduate,Yes,4657997,424517,240,679,7806845,381130,Male,Married,21,Retired,13,0,3686345,Urban,0.09,0
3,Graduate,Yes,7594547,5197268,180,309,7786180,2923525,Female,Divorced,60,Business,8,0,4864324,Rural,0.68,0
4,Not Graduate,Yes,9035982,13635171,36,670,3869839,2952263,Male,Divorced,31,Govt Job,15,0,1256342,Urban,1.51,1
1,Graduate,Yes,7463319,15960994,180,888,501837,1738840,Male,Married,33,Govt Job,13,0,4883770,Semi-Urban,2.14,1
4,Graduate,No,5637589,18909464,120,819,856211,116571,Female,Single,40,Business,5,0,2058403,Urban,3.35,1
1,Graduate,Yes,4956698,2881766,120,851,1648021,783603,Female,Divorced,44,Salaried,29,0,8506248,Rural,0.58,1
2,Graduate,No,4189150,101947,6,615,2413090,1063301,Male,Divorced,22,Retired,23,0,546516,Semi-Urban,0.02,0
4,Not Graduate,Yes,2482680,8085361,6,719,4730220,104392,Male,Divorced,28,Business,14,0,9054688,Rural,3.26,1
0,Graduate,No,2338712,12270535,36,785,7735368,541283,Male,Divorced,46,Govt Job,27,0,5856533,Rural,5.25,1
2,Graduate,Yes,7374523,7265323,6,694,3619334,4449700,Female,Single,42,Retired,28,0,284733,Rural,0.99,0
2,Graduate,Yes,3209382,521007,12,654,3924940,1076684,Male,Single,37,Govt Job,23,0,9316061,Urban,0.16,1
2,Graduate,No,8014058,18544904,240,639,5272622,3321784,Male,Divorced,50,Business,27,0,1600107,Semi-Urban,2.31,0
3,Graduate,Yes,9275829,15744354,6,732,3758922,4116849,Female,Married,63,Student,0,0,1261597,Rural,1.7,0
3,Graduate,No,8820855,7350245,6,659,3292016,1889003,Female,Married,22,Salaried,13,0,1892845,Semi-Urban,0.83,1
0,Graduate,No,6980953,12173985,60,693,8760129,2319864,Female,Divorced,24,Salaried,1,0,9623320,Rural,1.74,1
0,Not Graduate,Yes,9930935,14512191,12,450,687382,2609597,Female,Married,21,Govt Job,13,1,3592973,Semi-Urban,1.46,0
2,Not Graduate,No,5604714,13117088,240,643,258668,4390172,Male,Divorced,41,Business,23,0,4845918,Urban,2.34,1
2,Graduate,Yes,640714,16635090,6,472,5885705,1850042,Female,Single,22,Student,19,1,4549313,Rural,25.96,0
2,Not Graduate,Yes,7231157,13946733,24,808,1664766,3291221,Male,Divorced,48,Business,19,0,6408170,Urban,1.93,1
1,Graduate,Yes,7972336,16484803,36,425,1019693,3712760,Male,Married,49,Retired,29,1,4408294,Rural,2.07,0
4,Graduate,Yes,1280013,15422798,180,837,1068656,3583707,Female,Married,50,Business,23,0,8018892,Semi-Urban,12.05,1
4,Graduate,No,9321085,19802754,240,459,9855252,1912267,Female,Married,41,Govt Job,23,1,4232123,Rural,2.12,0
2,Not Graduate,No,6551469,15680826,24,526,153295,2624789,Female,Single,46,Salaried,1,1,3335054,Urban,2.39,0
1,Not Graduate,No,6696119,10436859,12,703,7811695,2724096,Male,Single,24,Student,12,1,4920786,Semi-Urban,1.56,0
4,Graduate,No,5525295,4684348,24,787,8978275,3165109,Female,Single,38,Govt Job,12,0,9748938,Semi-Urban,0.85,1
2,Graduate,Yes,3645413,3511592,240,861,4022513,4418682,Male,Married,55,Business,9,0,3583193,Semi-Urban,0.96,1
2,Graduate,No,9373127,8888757,180,776,1640351,2907452,Female,Married,49,Salaried,25,0,1586506,Rural,0.95,1
1,Not Graduate,No,589265,7385346,36,576,8893168,3813553,Female,Single,45,Govt Job,12,1,3432048,Urban,12.53,0
1,Not Graduate,No,3135137,2776901,36,389,110226,607807,Female,Single,32,Retired,1,0,1954446,Urban,0.89,0
4,Not Graduate,No,3191015,14519474,180,652,6761841,1081069,Male,Married,43,Salaried,25,0,1474005,Urban,4.55,0
4,Not Graduate,Yes,2744764,15377914,36,421,7768163,3982554,Male,Divorced,40,Student,2,1,2701452,Semi-Urban,5.6,0
2,Graduate,No,5723064,18641881,240,738,2061374,2095452,Female,Single,49,Salaried,3,0,8222212,Semi-Urban,3.26,1
0,Graduate,No,2774467,12823535,36,423,4306274,4146067,Male,Divorced,25,Govt Job,13,1,2460640,Semi-Urban,4.62,0
4,Not Graduate,Yes,8836127,5160429,6,615,956032,3863559,Female,Married,60,Salaried,4,0,459204,Semi-Urban,0.58,1
0,Not Graduate,No,3601889,7686024,6,720,2240931,2262613,Female,Married,56,Business,28,0,4366173,Urban,2.13,0
0,Graduate,No,3094618,6264877,36,702,9534290,3701580,Female,Divorced,58,Business,19,0,2802971,Semi-Urban,2.02,1
3,Not Graduate,No,828025,19303005,120,746,8287943,2221085,Female,Single,54,Business,13,0,925181,Semi-Urban,23.31,1
0,Not Graduate,Yes,9367412,11393223,36,364,7138795,4016343,Female,Divorced,44,Student,7,0,3383208,Urban,1.22,0
1,Not Graduate,No,8212996,10745111,36,803,527084,833381,Female,Divorced,64,Salaried,26,0,8110149,Urban,1.31,1
0,Graduate,Yes,5408989,3449975,6,331,1891901,986995,Female,Divorced,38,Govt Job,9,0,3403623,Semi-Urban,0.64,0
0,Not Graduate,Yes,4860985,16380638,180,577,2639237,2536265,Male,Married,39,Student,13,1,1108867,Semi-Urban,3.37,0
2,Not Graduate,No,9186963,4499332,60,430,4138056,1489615,Female,Single,64,Student,2,0,2100351,Semi-Urban,0.49,0
1,Not Graduate,Yes,3800314,9994688,240,752,614204,94990,Female,Divorced,38,Salaried,3,0,2679934,Semi-Urban,2.63,1
0,Not Graduate,Yes,6129101,613926,12,699,4871621,897452,Male,Single,37,Business,13,1,3220020,Semi-Urban,0.1,0
3,Not Graduate,Yes,2864041,1085190,36,741,8712108,2540277,Female,Married,34,Govt Job,28,1,796563,Rural,0.38,0
1,Graduate,No,7492365,6464749,240,883,2332587,1585977,Female,Divorced,30,Business,16,0,5311438,Urban,0.86,1
3,Graduate,Yes,7593174,6889725,12,717,2513929,494146,Female,Married,25,Student,9,1,67967,Urban,0.91,0
3,Graduate,No,4645983,12083387,6,359,7225739,3088435,Female,Divorced,23,Govt Job,27,1,4665038,Urban,2.6,0
3,Not Graduate,No,1605228,7039524,240,653,412755,3755309,Female,Married,25,Govt Job,27,0,4056805,Semi-Urban,4.39,1
1,Not Graduate,Yes,8738891,8538930,12,424,6461389,2488649,Male,Married,58,Salaried,6,0,4256561,Urban,0.98,0
1,Not Graduate,No,2854217,16640179,180,707,1274701,1981910,Male,Married,34,Student,28,1,449432,Urban,5.83,0
1,Graduate,Yes,5197932,565980,240,864,4799110,3978472,Female,Divorced,41,Business,7,0,7376049,Semi-Urban,0.11,1
0,Not Graduate,Yes,884736,15237708,24,390,6647650,3703533,Male,Divorced,53,Salaried,2,0,990728,Semi-Urban,17.22,0
0,Not Graduate,Yes,5098971,17872626,24,638,8505080,3860585,Female,Single,53,Salaried,5,0,5837145,Urban,3.51,1
2,Not Graduate,Yes,1481787,397978,240,811,7790321,2603408,Male,Single,50,Govt Job,22,0,649392,Semi-Urban,0.27,1
0,Graduate,Yes,8337585,18827344,36,746,6927108,1740629,Female,Married,55,Business,22,0,4530784,Urban,2.26,1
0,Not Graduate,No,5644572,7074361,36,622,9976134,2035686,Male,Married,35,Student,5,1,2385562,Urban,1.25,0
4,Not Graduate,No,5390608,5027031,36,749,2376332,2067584,Female,Married,23,Salaried,25,0,3307263,Semi-Urban,0.93,1
4,Graduate,Yes,4581515,5431868,12,421,823849,581800,Male,Single,54,Student,27,0,4363367,Rural,1.19,0
0,Graduate,Yes,5491312,1701774,120,617,5133535,754365,Female,Divorced,26,Salaried,9,0,5293674,Rural,0.31,1
1,Graduate,No,636788,7878483,240,636,5123217,2214196,Female,Divorced,58,Govt Job,23,0,2463430,Semi-Urban,12.37,1
0,Not Graduate,No,6779761,19802253,120,494,9452884,1409001,Female,Divorced,21,Retired,1,0,1478439,Urban,2.92,0
3,Graduate,No,1911612,9775055,120,638,1881536,4436153,Male,Married,60,Govt Job,5,1,83152,Semi-Urban,5.11,0
1,Graduate,Yes,3306078,6058352,180,827,3975094,3197560,Female,Divorced,44,Govt Job,10,0,2226887,Rural,1.83,1
1,Graduate,Yes,1104545,15513807,6,724,8882681,814345,Female,Married,52,Salaried,19,1,192154,Semi-Urban,14.05,0
1,Not Graduate,No,8762130,10267109,6,829,6605934,3770885,Male,Married,57,Salaried,25,0,6030918,Rural,1.17,1
1,Graduate,No,4035286,4517743,36,625,6669148,4491675,Male,Divorced,61,Student,2,1,3729220,Semi-Urban,1.12,0
0,Graduate,Yes,7325699,2092369,12,565,3155011,3083674,Male,Divorced,58,Retired,15,0,3158468,Semi-Urban,0.29,0
2,Not Graduate,No,6189187,17671389,120,683,1301421,2594935,Male,Married,44,Govt Job,27,0,5324311,Rural,2.86,1
2,Graduate,Yes,8132023,2569406,180,851,7176098,3551742,Female,Single,25,Business,25,0,6939373,Semi-Urban,0.32,1
0,Not Graduate,Yes,4543189,1218710,24,634,9418986,1140528,Female,Divorced,62,Govt Job,0,0,4551281,Semi-Urban,0.27,0
1,Not Graduate,Yes,6274801,1908970,120,866,186263,150884,Female,Single,55,Business,24,0,440164,Rural,0.3,1
4,Not Graduate,Yes,7667894,17386360,36,445,3311857,4738118,Female,Single,54,Student,4,1,2186742,Semi-Urban,2.27,0
4,Not Graduate,No,9843330,11422929,36,618,7932023,1259669,Male,Divorced,60,Student,15,0,2748814,Urban,1.16,0
2,Graduate,No,397089,4387838,60,838,5452627,3947043,Male,Single,40,Govt Job,1,0,6539588,Urban,11.05,1
0,Graduate,No,7913605,15670303,60,743,3986172,364843,Male,Single,45,Business,3,0,9154097,Rural,1.98,1
0,Not Graduate,No,2435530,4027769,60,870,1035133,1101592,Female,Single,50,Govt Job,27,0,685861,Urban,1.65,1
3,Graduate,Yes,3455019,11170616,240,691,5613010,3980540,Male,Divorced,40,Govt Job,25,0,4176061,Semi-Urban,3.23,1
3,Not Graduate,No,3053532,18676120,6,650,1135211,1500716,Female,Single,53,Salaried,11,0,4644676,Rural,6.12,1
4,Graduate,No,2929777,4441916,120,821,6301110,3852975,Male,Divorced,39,Business,26,0,681575,Semi-Urban,1.52,1
1,Not Graduate,No,6077563,11099442,180,722,7757424,4746589,Female,Divorced,35,Retired,10,1,3503194,Semi-Urban,1.83,0
1,Graduate,No,9450818,5455051,60,690,3378636,1623555,Male,Single,55,Govt Job,6,0,6592759,Semi-Urban,0.58,1
2,Not Graduate,Yes,492791,8385390,120,491,6167539,394401,Female,Divorced,47,Salaried,13,1,4101142,Urban,17.02,0
2,Graduate,No,2416204,12681042,240,673,6229316,2222908,Female,Married,54,Salaried,13,0,2383636,Rural,5.25,0
2,Graduate,No,4748510,19288192,6,736,2239751,2286681,Male,Married,49,Business,28,0,3852692,Semi-Urban,4.06,0
3,Graduate,No,6072745,11469084,24,403,4632152,4788156,Female,Single,31,Govt Job,2,0,4860986,Semi-Urban,1.89,0
2,Graduate,No,572903,8220817,24,365,1123691,4325471,Female,Married,57,Govt Job,12,0,693328,Urban,14.35,0
2,Not Graduate,Yes,2443458,15061845,120,379,8433581,2334424,Male,Married,49,Retired,14,1,2775756,Urban,6.16,0
4,Not Graduate,Yes,1926092,5605288,180,772,6116257,4779436,Female,Married,44,Salaried,3,0,2626899,Semi-Urban,2.91,1
3,Graduate,Yes,3829041,1825945,120,675,4635481,2130833,Female,Divorced,23,Salaried,8,0,7150140,Urban,0.48,1
1,Graduate,No,5989723,1317551,24,540,2630101,452438,Female,Married,61,Govt Job,9,0,2378007,Rural,0.22,0
2,Graduate,No,8974716,1568694,12,502,4526539,733936,Male,Single,24,Business,26,0,4402610,Semi-Urban,0.17,0
0,Graduate,Yes,7015548,6883608,36,615,1374868,866405,Female,Married,25,Govt Job,14,0,5557278,Semi-Urban,0.98,1
3,Not Graduate,Yes,2647421,17045011,60,898,207227,4778598,Female,Married,56,Business,21,0,3471769,Rural,6.44,1
4,Not Graduate,No,4689844,6300433,24,302,1692775,3555844,Male,Single,36,Govt Job,23,1,4477938,Rural,1.34,0
4,Not Graduate,Yes,704256,7197296,6,677,8801279,2891676,Male,Married,61,Student,23,0,3254031,Rural,10.22,0
4,Not Graduate,Yes,4809960,19214318,180,453,1146210,1877040,Male,Single,35,Govt Job,4,1,2076203,Rural,3.99,0
3,Graduate,No,2658898,4071601,180,749,4649092,1943960,Female,Single,38,Govt Job,14,0,2697146,Rural,1.53,1
1,Graduate,Yes,7976793,19289514,24,729,8854143,3491009,Female,Single,38,Retired,19,1,4000431,Rural,2.42,0
2,Graduate,No,4622730,1374110,120,825,2355668,4989537,Male,Married,34,Business,10,0,902986,Rural,0.3,1
0,Graduate,No,3327798,15048268,180,391,230109,2921069,Female,Single,52,Retired,6,0,4075193,Semi-Urban,4.52,0
0,Graduate,Yes,8338731,10876117,12,304,5403140,4829750,Male,Single,26,Retired,8,0,938058,Semi-Urban,1.3,0
4,Not Graduate,No,1860563,15252088,36,820,9250535,2635687,Female,Single,40,Salaried,1,0,5019555,Semi-Urban,8.2,1
1,Graduate,Yes,7471070,7486029,240,707,4933308,2169585,Female,Married,27,Retired,12,0,3735360,Urban,1.0,0
0,Not Graduate,No,9938635,5871305,36,441,8761716,3603543,Female,Married,25,Student,16,1,3178163,Semi-Urban,0.59,0
4,Graduate,No,2593768,9986028,36,637,9583526,1834968,Male,Divorced,55,Salaried,9,0,3078975,Rural,3.85,1
1,Not Graduate,Yes,9597700,3474148,120,307,9262037,1933109,Male,Single,26,Student,25,1,2800861,Rural,0.36,0
0,Graduate,Yes,3463614,4646827,120,519,8798938,3016452,Male,Married,26,Business,1,0,370954,Semi-Urban,1.34,0
1,Not Graduate,Yes,9649766,19583489,240,630,9252421,2843043,Male,Married,64,Salaried,22,0,9605136,Urban,2.03,1
2,Not Graduate,No,8538197,9005775,24,309,7017922,2263497,Male,Single,41,Student,15,1,2766824,Urban,1.05,0
1,Graduate,Yes,843178,10881638,240,408,9628478,3128117,Male,Married,60,Business,9,1,3716075,Urban,12.91,0
2,Graduate,Yes,2558259,8319947,6,466,635346,4048098,Male,Single,21,Student,10,0,3933881,Urban,3.25,0
4,Not Graduate,Yes,4306331,9905871,60,757,1661471,31843,Female,Single,27,Salaried,13,0,4544880,Semi-Urban,2.3,1
2,Not Graduate,No,3728571,3011960,60,333,4809565,575034,Female,Married,57,Retired,0,1,1075041,Semi-Urban,0.81,0
2,Not Graduate,Yes,1036820,9528256,24,674,1958938,2443389,Male,Married,57,Salaried,2,0,4496027,Semi-Urban,9.19,1
1,Graduate,No,2852653,3385111,120,483,4068890,4216794,Female,Divorced,63,Govt Job,17,0,905581,Semi-Urban,1.19,0
4,Graduate,No,1445456,2897204,36,879,3978294,2072859,Female,Divorced,29,Business,27,0,7808061,Rural,2.0,1
0,Not Graduate,No,6066727,18134978,180,899,8254997,2209445,Male,Married,45,Business,8,0,6766918,Semi-Urban,2.99,1
3,Not Graduate,No,1719092,17468937,36,702,1353327,3949510,Male,Single,22,Business,4,0,4413497,Urban,10.16,1
1,Graduate,Yes,1752175,16227272,6,608,9812930,74415,Male,Single,43,Business,5,0,178937,Urban,9.26,1
0,Graduate,No,606197,7740448,240,711,1029821,1230190,Female,Single,23,Salaried,1,0,4397855,Semi-Urban,12.77,1
3,Graduate,Yes,756697,7406860,120,667,6668719,1933352,Male,Married,28,Business,16,0,6780621,Rural,9.79,1
0,Graduate,No,1351154,16167307,240,808,8796186,2364531,Female,Married,46,Salaried,14,0,2403014,Urban,11.97,1
2,Graduate,Yes,245721,819329,36,634,2197406,1820231,Female,Married,27,Govt Job,28,0,8277272,Urban,3.33,1
2,Not Graduate,No,5468903,654479,240,380,9208656,2350027,Female,Divorced,29,Student,0,0,1670770,Semi-Urban,0.12,0
3,Not Graduate,No,5856006,5827377,240,786,3619739,2114753,Male,Married,56,Business,10,0,9773488,Rural,1.0,1
1,Not Graduate,No,8748761,5736835,180,428,6845144,973885,Female,Married,48,Student,20,0,826220,Semi-Urban,0.66,0
1,Not Graduate,No,6676169,5026143,120,561,1527407,3906652,Female,Divorced,23,Salaried,15,0,1308685,Rural,0.75,0
0,Graduate,Yes,6425612,6621665,240,683,4375039,2672773,Male,Single,37,Student,27,1,2253545,Rural,1.03,0
1,Not Graduate,No,3544718,14253558,60,551,1993856,1755646,Female,Married,38,Student,24,0,3806201,Rural,4.02,0
4,Graduate,Yes,5086493,490107,60,693,4275711,2154467,Male,Married,54,Govt Job,29,0,4735704,Rural,0.1,0
3,Not Graduate,Yes,7236895,15643486,240,484,4328617,3272865,Female,Married,27,Retired,29,0,562373,Rural,2.16,0
2,Not Graduate,No,762537,1754475,12,418,1073820,4969462,Female,Married,54,Govt Job,17,0,142350,Rural,2.3,0
1,Graduate,Yes,7322403,735473,12,371,7311048,575355,Male,Single,46,Student,27,0,3029427,Rural,0.1,0
3,Not Graduate,Yes,7732565,7529687,36,433,4339643,217182,Female,Divorced,43,Retired,15,1,2476608,Rural,0.97,0
3,Graduate,No,1633497,8288734,60,617,7703583,2142086,Male,Married,37,Salaried,8,0,4326794,Semi-Urban,5.07,1
3,Graduate,Yes,7039394,3787614,6,531,9505704,4717183,Male,Single,43,Govt Job,12,0,333024,Rural,0.54,0
3,Not Graduate,Yes,7850359,6814252,240,716,8387191,4703264,Female,Single,23,Salaried,8,1,2126268,Rural,0.87,0
3,Graduate,No,9250951,10769037,36,434,8563951,3416792,Female,Divorced,43,Govt Job,16,1,4841021,Urban,1.16,0
3,Not Graduate,No,6660331,12530008,24,894,1544224,709038,Male,Divorced,21,Business,5,0,3076832,Semi-Urban,1.88,1
4,Not Graduate,No,4712562,13657443,6,707,3960515,4588031,Female,Married,52,Student,27,1,4876838,Urban,2.9,0
0,Not Graduate,No,6659443,14548487,240,479,8811314,550080,Male,Married,40,Retired,1,0,2559350,Rural,2.18,0
1,Graduate,Yes,4910547,6948861,36,403,4363088,1999463,Female,Divorced,35,Student,28,0,4053052,Semi-Urban,1.42,0
0,Not Graduate,No,801001,12483621,12,693,4562847,1489021,Female,Single,58,Business,7,0,4592675,Rural,15.59,1
3,Not Graduate,No,5592269,6588419,24,698,3851364,1035260,Male,Divorced,26,Salaried,15,0,447355,Semi-Urban,1.18,0
2,Graduate,Yes,7201056,8505607,240,834,2499080,3682088,Female,Married,35,Govt Job,3,0,982725,Semi-Urban,1.18,1
4,Not Graduate,No,8737223,9572655,120,651,8669578,192214,Female,Divorced,51,Business,10,0,2619504,Urban,1.1,1
4,Graduate,Yes,4030906,11902385,60,352,3255531,40927,Male,Divorced,48,Business,24,0,129209,Rural,2.95,0
4,Graduate,No,7084079,3936510,180,881,2958297,2122528,Male,Married,63,Business,26,0,2309216,Semi-Urban,0.56,1
0,Not Graduate,Yes,433998,18670335,6,862,4691412,1972878,Male,Divorced,44,Business,6,0,4065770,Urban,43.02,1
1,Not Graduate,No,530525,8848348,12,659,9048818,120627,Male,Married,53,Business,3,0,3410866,Rural,16.68,0
4,Not Graduate,No,8214655,15767722,12,784,3905159,4143456,Male,Married,35,Salaried,1,0,8991300,Rural,1.92,1
3,Graduate,No,375102,10396036,180,638,4394914,2575776,Male,Single,45,Govt Job,2,0,7127774,Urban,27.72,1
2,Graduate,No,6015293,19331079,60,414,9302591,3072633,Female,Single,59,Salaried,15,1,2587124,Urban,3.21,0
0,Graduate,Yes,8739217,18554457,180,528,7664787,1990531,Male,Divorced,51,Retired,3,0,3380929,Urban,2.12,0
0,Graduate,No,5778717,11532156,36,746,5401106,1444103,Male,Single,26,Salaried,4,0,5329655,Semi-Urban,2.0,1
0,Graduate,Yes,9638639,18078404,180,804,6222250,2467801,Male,Married,55,Govt Job,17,0,2854606,Rural,1.88,1
2,Graduate,Yes,4326621,18454083,36,858,1763890,4498758,Male,Married,44,Business,3,0,4102621,Rural,4.27,1
2,Not Graduate,No,3690424,539212,180,445,6584672,4812383,Male,Married,47,Student,25,0,3055291,Rural,0.15,0
0,Graduate,No,9549978,9824349,12,587,5321454,1256148,Male,Married,54,Retired,11,1,2134941,Urban,1.03,0
3,Not Graduate,No,4986791,15631416,240,690,7628832,1530261,Male,Married,25,Business,21,0,1077877,Urban,3.13,0
3,Graduate,Yes,203360,13797956,24,387,3698583,4094088,Female,Married,62,Retired,9,0,290553,Urban,67.85,0
2,Not Graduate,Yes,2098737,245287,12,795,995655,2035165,Male,Single,36,Business,10,0,171341,Rural,0.12,1
3,Not Graduate,No,7139261,15206936,60,855,7003638,4250902,Female,Single,23,Business,7,0,9308327,Semi-Urban,2.13,1
3,Graduate,Yes,4625531,12631366,120,710,6082444,4753953,Female,Divorced,50,Salaried,1,0,2463290,Semi-Urban,2.73,1
4,Not Graduate,No,6947682,12390798,24,808,2595768,2960262,Female,Married,36,Business,4,0,2338604,Rural,1.78,1
4,Not Graduate,No,8418082,13383469,36,306,4042838,1713969,Female,Single,46,Student,4,1,2801956,Rural,1.59,0
0,Graduate,No,2964588,11734028,24,411,7365311,1689166,Female,Single,55,Salaried,19,1,2966737,Urban,3.96,0
0,Graduate,Yes,6305667,15360563,12,532,6924235,1153668,Male,Divorced,32,Govt Job,7,0,379999,Semi-Urban,2.44,0
1,Graduate,Yes,4829035,15717371,12,588,5976641,562586,Female,Married,26,Business,15,0,814204,Urban,3.25,0
1,Graduate,Yes,9932229,17300379,180,573,9263030,3793881,Female,Divorced,56,Student,10,1,2195436,Rural,1.74,0
2,Graduate,Yes,4798843,9925082,36,742,2143382,3993679,Female,Married,25,Retired,8,0,98381,Rural,2.07,0
0,Graduate,Yes,4815248,15858550,24,619,3406171,3360123,Male,Divorced,27,Govt Job,14,0,5064625,Urban,3.29,1
2,Not Graduate,Yes,2391317,5031077,36,465,2222628,137118,Female,Married,63,Govt Job,25,0,2850559,Rural,2.1,0
3,Not Graduate,Yes,3973738,11228328,240,514,5360616,3724628,Female,Married,44,Salaried,4,0,4899339,Semi-Urban,2.83,0
2,Not Graduate,Yes,398170,8865305,180,899,1661835,4022938,Male,Single,56,Business,13,0,6427395,Urban,22.27,1
2,Not Graduate,No,1278738,12338154,60,801,692710,2366750,Female,Single,31,Govt Job,2,0,8808139,Semi-Urban,9.65,1
4,Not Graduate,Yes,3136383,13490351,240,606,441370,906805,Male,Single,21,Salaried,15,0,9707251,Rural,4.3,1
3,Not Graduate,Yes,5132733,573884,12,847,5248884,1472551,Male,Divorced,51,Govt Job,21,0,2307103,Rural,0.11,1
3,Not Graduate,Yes,5889394,15560529,120,761,1992363,1298385,Female,Divorced,57,Govt Job,1,0,2809055,Urban,2.64,1
1,Not Graduate,No,1138349,10658234,180,647,5283504,1848272,Female,Single,36,Govt Job,21,1,2865974,Semi-Urban,9.36,0
0,Graduate,Yes,7528427,7169053,120,567,6149895,4024397,Female,Married,54,Salaried,8,0,3675539,Urban,0.95,0
4,Graduate,Yes,7128667,15461608,36,609,5609944,1185842,Female,Single,57,Salaried,16,0,2048041,Urban,2.17,0
